relative_path,html_url,path,commit_id,line,bug_type,priority,comment_or_not,token,proxy
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgPobierzSpecjalizacje.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,19,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgPobierzWolneTerminy.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,33,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgPotwierdzWizyte.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,25,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgRejestracja.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,21,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgRejestracjaLekarza.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,21,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/bgWyswietlOpinie.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,32,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/rejestracja.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,9,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/rejestracjaLekarza.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,9,NM_CLASS_NAMING_CONVENTION,2,FALSE,,
natalia171/praca_inz/1/report.json,https://github.com/natalia171/praca_inz/pull/1/files,android_studio_project/praca_inz_03/app/src/main/java/com/example/praca_inz_03/rejestracjaLekarza.java,1308cebd5abe9b9bd0704550ebd2546fe8928bb9,32,NM_METHOD_NAMING_CONVENTION,2,FALSE,,
YHDiamond/GeyserUpdater/49/report.json,https://github.com/YHDiamond/GeyserUpdater/pull/49/files,src/main/java/com/alysaa/geyserupdater/velocity/VelocityUpdater.java,eb662535dfefefbbd0616c91490c768baa543d38,139,UI_INHERITANCE_UNSAFE_GETRESOURCE,3,TRUE,,
