project name,pattern,spotbugs path,spotbugs lineno,rbugs path,rbugs lineno
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/align/gui/DotPlotPanel.java,244,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/DotPlotPanel.java,244
biojava,NO_NOTIFY_NOT_NOTIFYALL,org/biojava/nbio/structure/align/gui/MemoryMonitor.java,284,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/MemoryMonitor.java,284
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,247,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,247
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,241,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,245
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,243,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,243
biojava,ES_COMPARING_STRINGS_WITH_EQ,org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,245,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/jmol/MultipleAlignmentJmol.java,241
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/gui/jmol/StructureAlignmentJmol.java,260,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/align/gui/jmol/StructureAlignmentJmol.java,260
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/gui/util/AlternativeAlignmentFrame.java,131,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/gui/util/AlternativeAlignmentFrame.java,131
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/gui/util/AlternativeAlignmentFrame.java,129,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/gui/util/AlternativeAlignmentFrame.java,129
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/gui/util/color/HSVColorSpace.java,62,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure-gui/src/main/java/org/biojava/nbio/structure/gui/util/color/HSVColorSpace.java,62
